no,id,title,type,platform,friend_id,country,region,sent_date,received_date,tags,url,friend_url
,US-6350458,,MATCH,POSTCROSSING,JFV,U.S.A.,,2/Nov/2019,17/Nov/2019,,https://www.postcrossing.com/postcards/US-6350458,https://www.postcrossing.com/user/JFV
,CZ-1631055,,MATCH,POSTCROSSING,JulsCZ,Czechia,,2/Nov/2019,20/Nov/2019,,https://www.postcrossing.com/postcards/CZ-1631055,https://www.postcrossing.com/user/JulsCZ
,US-6378655,,MATCH,POSTCROSSING,LulamaeA,U.S.A.,,17/Nov/2019,2/Dec/2019,,https://www.postcrossing.com/postcards/US-6378655,https://www.postcrossing.com/user/LulamaeA
,TW-2888347,,MATCH,POSTCROSSING,Ssuyu_Chen,China,台湾,20/Nov/2019,2/Dec/2019,,https://www.postcrossing.com/postcards/TW-2888347,https://www.postcrossing.com/user/Ssuyu_Chen
,DE-8727180,,MATCH,POSTCROSSING,Schokomaus,Germany,,20/Nov/2019,4/Dec/2019,,https://www.postcrossing.com/postcards/DE-8727180,https://www.postcrossing.com/user/Schokomaus
,AT-465115,,MATCH,POSTCROSSING,Resal,Austria,,19/Nov/2019,24/Dec/2019,,https://www.postcrossing.com/postcards/AT-465115,https://www.postcrossing.com/user/Resal
,JP-1345109,,MATCH,POSTCROSSING,VioletXu,Japan,,17/Dec/2019,28/Dec/2019,,https://www.postcrossing.com/postcards/JP-1345109,https://www.postcrossing.com/user/VioletXu
,AU-697978,,MATCH,POSTCROSSING,karenk,Australia,,17/Dec/2019,31/Dec/2019,,https://www.postcrossing.com/postcards/AU-697978,https://www.postcrossing.com/user/karenk
,DE-8814973,,MATCH,POSTCROSSING,flamingo186,Germany,,16/Dec/2019,7/Jan/2020,,https://www.postcrossing.com/postcards/DE-8814973,https://www.postcrossing.com/user/flamingo186
,NL-4539268,,MATCH,POSTCROSSING,kaartjesvanchris,Netherlands,,17/Dec/2019,12/Jan/2020,,https://www.postcrossing.com/postcards/NL-4539268,https://www.postcrossing.com/user/kaartjesvanchris
,JP-1353205,,MATCH,POSTCROSSING,Narumi99,Japan,,9/Jan/2020,21/Jan/2020,,https://www.postcrossing.com/postcards/JP-1353205,https://www.postcrossing.com/user/Narumi99
,CA-966797,,MATCH,POSTCROSSING,DanaSyny,Canada,,17/Dec/2019,21/Jan/2020,,https://www.postcrossing.com/postcards/CA-966797,https://www.postcrossing.com/user/DanaSyny
,GB-1199724,,MATCH,POSTCROSSING,khaemwaset,U.K.,,9/Jan/2020,23/Jan/2020,,https://www.postcrossing.com/postcards/GB-1199724,https://www.postcrossing.com/user/khaemwaset
,FI-3640189,,MATCH,POSTCROSSING,peppupate,Finland,,10/Jan/2020,14/Feb/2020,,https://www.postcrossing.com/postcards/FI-3640189,https://www.postcrossing.com/user/peppupate
,US-6470207,,MATCH,POSTCROSSING,UVaAHJ,U.S.A.,,9/Jan/2020,16/Feb/2020,,https://www.postcrossing.com/postcards/US-6470207,https://www.postcrossing.com/user/UVaAHJ
,RU-7768353,,MATCH,POSTCROSSING,seamrog,Russia,,23/Jan/2020,16/Feb/2020,,https://www.postcrossing.com/postcards/RU-7768353,https://www.postcrossing.com/user/seamrog
,DE-8881661,,MATCH,POSTCROSSING,Lepi,Germany,,8/Jan/2020,16/Feb/2020,,https://www.postcrossing.com/postcards/DE-8881661,https://www.postcrossing.com/user/Lepi
,ES-599293,,MATCH,POSTCROSSING,joseazel,Spain,,9/Jan/2020,16/Feb/2020,,https://www.postcrossing.com/postcards/ES-599293,https://www.postcrossing.com/user/joseazel
,EE-268992,,MATCH,POSTCROSSING,Burialsheer,Estonia,,9/Jan/2020,18/Feb/2020,,https://www.postcrossing.com/postcards/EE-268992,https://www.postcrossing.com/user/Burialsheer
,DE-8884027,,MATCH,POSTCROSSING,xururuka,Germany,,9/Jan/2020,18/Feb/2020,,https://www.postcrossing.com/postcards/DE-8884027,https://www.postcrossing.com/user/xururuka
,MY-523835,,MATCH,POSTCROSSING,newrule,Malaysia,,10/Jan/2020,18/Feb/2020,,https://www.postcrossing.com/postcards/MY-523835,https://www.postcrossing.com/user/newrule
,ES-601084,,MATCH,POSTCROSSING,catajanek,Spain,,21/Jan/2020,24/Feb/2020,,https://www.postcrossing.com/postcards/ES-601084,https://www.postcrossing.com/user/catajanek
,NL-4554749,,MATCH,POSTCROSSING,DignaHeemstra,Netherlands,,12/Jan/2020,25/Feb/2020,,https://www.postcrossing.com/postcards/NL-4554749,https://www.postcrossing.com/user/DignaHeemstra
,NL-4566257,,MATCH,POSTCROSSING,thegirls,Netherlands,,28/Jan/2020,26/Feb/2020,,https://www.postcrossing.com/postcards/NL-4566257,https://www.postcrossing.com/user/thegirls
,HU-176484,,MATCH,POSTCROSSING,13wolves,Hungary,,28/Jan/2020,1/Mar/2020,,https://www.postcrossing.com/postcards/HU-176484,https://www.postcrossing.com/user/13wolves
,NL-4615967,,MATCH,POSTCROSSING,EstherXS,Netherlands,,4/Apr/2020,19/Apr/2020,,https://www.postcrossing.com/postcards/NL-4615967,https://www.postcrossing.com/user/EstherXS
,CNTM27681,南京中山陵,活动,icardyou,轻触梦境,China,江苏,4/10/2020 0:18,4/19/2020 20:27,南京 景点 中山陵,https://icardyou.icu/sendpostcard/postcardDetail/1055467,https://icardyou.icu/userInfo/homePage?userId=21252
,DE-9142923,,MATCH,POSTCROSSING,Weck-Family,Germany,,5/Apr/2020,21/Apr/2020,,https://www.postcrossing.com/postcards/DE-9142923,https://www.postcrossing.com/user/Weck-Family
,DE-9145253,,MATCH,POSTCROSSING,Kacuepe,Germany,,5/Apr/2020,21/Apr/2020,,https://www.postcrossing.com/postcards/DE-9145253,https://www.postcrossing.com/user/Kacuepe
,NO-196575,,MATCH,POSTCROSSING,tantejul,Norway,,4/Apr/2020,21/Apr/2020,,https://www.postcrossing.com/postcards/NO-196575,https://www.postcrossing.com/user/tantejul
,DE-9139837,,MATCH,POSTCROSSING,omahanni,Germany,,3/Apr/2020,22/Apr/2020,,https://www.postcrossing.com/postcards/DE-9139837,https://www.postcrossing.com/user/omahanni
,RU-7890590,,MATCH,POSTCROSSING,InnaIvanovna,Russia,,5/Apr/2020,26/Apr/2020,,https://www.postcrossing.com/postcards/RU-7890590,https://www.postcrossing.com/user/InnaIvanovna
,US-6639210,,MATCH,POSTCROSSING,petrini1,U.S.A.,,5/Apr/2020,28/Apr/2020,,https://www.postcrossing.com/postcards/US-6639210,https://www.postcrossing.com/user/petrini1
,US-6637642,,MATCH,POSTCROSSING,Trikki,U.S.A.,,4/Apr/2020,3/May/2020,,https://www.postcrossing.com/postcards/US-6637642,https://www.postcrossing.com/user/Trikki
,US-6638565,,MATCH,POSTCROSSING,Heepy,U.S.A.,,5/Apr/2020,6/May/2020,,https://www.postcrossing.com/postcards/US-6638565,https://www.postcrossing.com/user/Heepy
,GB-1230954,,MATCH,POSTCROSSING,delicards,U.K.,,4/Apr/2020,12/May/2020,,https://www.postcrossing.com/postcards/GB-1230954,https://www.postcrossing.com/user/delicards
,CNSH15286,外滩,活动,icardyou,Major K,China,上海,5/9/2020 19:12,5/12/2020 9:04,上海 景点 上海人民美术出版社,https://icardyou.icu/sendpostcard/postcardDetail/1064690,https://icardyou.icu/userInfo/homePage?userId=35926
,CNHL1801,请回答1988,活动,icardyou,潘潘,China,黑龙江,5/9/2020 12:54,5/13/2020 20:14,韩剧,https://icardyou.icu/sendpostcard/postcardDetail/1064692,https://icardyou.icu/userInfo/homePage?userId=37981
,CNHN7202,双窟北洞力士像,活动,icardyou,judy66,China,湖南,5/12/2020 14:33,5/15/2020 21:19,景点 龙门石窟,https://icardyou.icu/sendpostcard/postcardDetail/1064750,https://icardyou.icu/userInfo/homePage?userId=36968
,PR-11946,,MATCH,POSTCROSSING,sumares,Puerto Rico,,5/Apr/2020,20/May/2020,,https://www.postcrossing.com/postcards/PR-11946,https://www.postcrossing.com/user/sumares
,DE-9175490,,MATCH,POSTCROSSING,Kemari,Germany,,17/Apr/2020,24/May/2020,,https://www.postcrossing.com/postcards/DE-9175490,https://www.postcrossing.com/user/Kemari
,CA-994685,,MATCH,POSTCROSSING,RayCMoon,Canada,,4/Apr/2020,16/Jun/2020,,https://www.postcrossing.com/postcards/CA-994685,https://www.postcrossing.com/user/RayCMoon
,AU-713604,,MATCH,POSTCROSSING,deb0rahanne,Australia,,5/Apr/2020,20/Jun/2020,,https://www.postcrossing.com/postcards/AU-713604,https://www.postcrossing.com/user/deb0rahanne
,CNJS11572,福建南靖土楼 山西平遥古城,活动,icardyou,Nicole,China,江苏,6/26/2020 18:58,6/29/2020 19:33,南靖 平遥 土楼 景点,https://icardyou.icu/sendpostcard/postcardDetail/1076815,https://icardyou.icu/userInfo/homePage?userId=36659
,CNCQ5707,重庆印象磁器口宝轮寺,活动,icardyou,Aquarius,China,重庆,6/26/2020 12:41,6/30/2020 19:03,重庆 景点 寺庙,https://icardyou.icu/sendpostcard/postcardDetail/1076769,https://icardyou.icu/userInfo/homePage?userId=37657
,CNSH16471,从外滩20号和平饭店主楼眺望浦东陆家嘴,活动,icardyou,Major K,China,上海,6/28/2020 18:53,6/30/2020 19:07,上海 景点,https://icardyou.icu/sendpostcard/postcardDetail/1077148,https://icardyou.icu/userInfo/homePage?userId=35926
,GB-1231150,,MATCH,POSTCROSSING,fijalko1,U.K.,,5/Apr/2020,3/Jul/2020,,https://www.postcrossing.com/postcards/GB-1231150,https://www.postcrossing.com/user/fijalko1
,CNSC2710,成都熊猫基地,活动,icardyou,Irene_Sol,China,四川,6/25/2020 19:25,7/3/2020 8:13,成都 熊猫 动物,https://icardyou.icu/sendpostcard/postcardDetail/1076771,https://icardyou.icu/userInfo/homePage?userId=38163
,CNZJ16752,荆山第一漂——甘水漂流,活动,icardyou,Nord,China,浙江,7/1/2020 16:06,7/5/2020 15:33,景点 邮资片,https://icardyou.icu/sendpostcard/postcardDetail/1076820,https://icardyou.icu/userInfo/homePage?userId=31217
,CNSH16618,吴语水乡苏州,活动,icardyou,请先看主页,China,上海,7/5/2020 21:22,7/7/2020 20:23,苏州 三生有信,https://icardyou.icu/sendpostcard/postcardDetail/1079369,https://icardyou.icu/userInfo/homePage?userId=37673
,CNHN7380,湖南长沙,活动,icardyou,90后的骏（收集关于马儿、火车的明信片）,China,湖南,6/25/2020 21:02,7/7/2020 20:26,长沙 邮资片,https://icardyou.icu/sendpostcard/postcardDetail/1076773,https://icardyou.icu/userInfo/homePage?userId=19829
,CNTM32053,中国山西平遥古镇,活动,icardyou,陈淀,China,广东,7/7/2020 15:41,7/15/2020 7:13,景点 山西 平遥,https://icardyou.icu/sendpostcard/postcardDetail/1079730,https://icardyou.icu/userInfo/homePage?userId=23899
