no,id,title,type,platform,friend_id,country,region,sent_date,received_date,tags,url,friend_url
,CNSH14735,,活动,icardyou,轻触梦境,China,江苏,2020-04-04 10:36,2020-04-07 18:39,,https://icardyou.icu/sendpostcard/postcardDetail/1055468,https://icardyou.icu/userInfo/homePage?userId=21252
,CNSH15293,,活动,icardyou,judy66,China,湖南,2020-05-09 20:52,2020-06-16 17:53,,https://icardyou.icu/sendpostcard/postcardDetail/1064749,https://icardyou.icu/userInfo/homePage?userId=36968
,CNSH15287,,活动,icardyou,潘潘,China,黑龙江,2020-05-09 20:52,2020-05-14 15:05,,https://icardyou.icu/sendpostcard/postcardDetail/1064691,https://icardyou.icu/userInfo/homePage?userId=37981
,CNSH15285,,活动,icardyou,Major K,China,上海,2020-05-09 20:58,2020-05-11 20:56,,https://icardyou.icu/sendpostcard/postcardDetail/1064689,https://icardyou.icu/userInfo/homePage?userId=35926
,CNSH16419,,活动,icardyou,Aquarius,China,云南,2020-06-26 11:18,2020-07-11 20:10,,https://icardyou.icu/sendpostcard/postcardDetail/1076768,https://icardyou.icu/userInfo/homePage?userId=37657
,CNSH16420,,活动,icardyou,Irene_Sol,China,四川,2020-06-26 11:24,2020-06-29 18:35,,https://icardyou.icu/sendpostcard/postcardDetail/1076770,https://icardyou.icu/userInfo/homePage?userId=38163
,CNSH16421,,活动,icardyou,90后的骏（收集关于马儿、火车的明信片）,China,湖南,2020-06-26 11:48,2020-06-29 17:45,,https://icardyou.icu/sendpostcard/postcardDetail/1076772,https://icardyou.icu/userInfo/homePage?userId=19829
,CNSH16422,,活动,icardyou,笨笨兔,China,新疆,2020-06-26 11:53,2020-07-25 01:28,,https://icardyou.icu/sendpostcard/postcardDetail/1076777,https://icardyou.icu/userInfo/homePage?userId=2847
,CNSH16423,,活动,icardyou,Nicole,China,青海,2020-06-26 11:58,2020-06-29 16:06,,https://icardyou.icu/sendpostcard/postcardDetail/1076814,https://icardyou.icu/userInfo/homePage?userId=36659
,CNSH16424,,活动,icardyou,Nord,China,浙江,2020-06-26 12:02,2020-08-23 20:08,,https://icardyou.icu/sendpostcard/postcardDetail/1076819,https://icardyou.icu/userInfo/homePage?userId=31217
,CNSH16425,,活动,icardyou,Todd,China,河北,2020-06-26 12:07,2020-07-06 10:04,,https://icardyou.icu/sendpostcard/postcardDetail/1076825,https://icardyou.icu/userInfo/homePage?userId=37849
